amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num2,price2,num2_day,price2_day,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,0,1232043000,0,0,0,BISV,0,RUB,3653868000,2008627000,0,4654749000,0,1068730000,1068730000,1227731000,1188165000,1188165000,13360354000,13360354000,MOEX,0,0,,673943000,140469000,349000,39915000,39566000,https://cdn.financemarker.ru/reports/2019/MOEX/B/BISV_2019_6_Q_РСБУ.pdf,0,18178169000,3204576000,0,3816934000,6,3981160000,673943000,6M,0,55171000,3063149000,0,21832037000,5213203000,0,8471683000,РСБУ,2019,8444205159.299999,36165270,5.1900,36165270,8.6000,949023840,8.7000,949023840,8.7000,1.0847968061685132,3.1091990044429134,1.2060273382437205,0
1,0,1294000000,0,0,0,BISV,0,RUB,3654000000,2009000000,0,4655000000,0,911000000,911000000,996000000,996000000,996000000,13360000000,13360000000,MOEX,0,0,,333000000,2468000000,0,22000000,21000000,https://cdn.financemarker.ru/reports/2019/MOEX/B/BISV_2019_6_Q_РСБУ.pdf,0,18178000000,3205000000,0,3817000000,6,3919000000,333000000,Q,0,0,1507000000,0,21832000000,5214000000,0,8472000000,РСБУ,2019,8444205159.299999,36165270,5.1900,36165270,8.6000,949023840,8.7000,949023840,8.7000,0.9246955642861298,1.5296555602406121,1.0109734160581616,0
1,0,12098000,0,0,0,BISV,0,RUB,1867159000,2932157000,0,5020716000,0,1486275000,1486275000,1701256000,1658576000,1658576000,13777899000,13777899000,MOEX,0,0,,978591000,141042000,10150000,52830000,42680000,https://cdn.financemarker.ru/reports/2019/MOEX/B/BISV_2019_9_Q_РСБУ.pdf,0,21068331000,3204576000,0,4136875000,9,6124635000,978591000,9M,0,55172000,4581414000,0,22935490000,6136733000,0,9157591000,РСБУ,2019,8440950284.999999,36165270,5.1000,36165270,8.6000,949023840,8.7000,949023840,8.7000,1.5086189899114901,4.650288917627195,1.6835102856547004,0
1,0,73000000,0,0,0,BISV,0,RUB,1867000000,2932000000,0,5021000000,0,418000000,418000000,474000000,483000000,483000000,13778000000,13778000000,MOEX,0,0,,305000000,2467000000,10000000,13000000,3000000,https://cdn.financemarker.ru/reports/2019/MOEX/B/BISV_2019_9_Q_РСБУ.pdf,0,21068000000,3205000000,0,4137000000,9,6064000000,305000000,Q,0,0,1518000000,0,22935000000,6137000000,0,9158000000,РСБУ,2019,8440950284.999999,36165270,5.1000,36165270,8.6000,949023840,8.7000,949023840,8.7000,0.424284024008345,1.5408209292934634,0.49026120477519286,0
1,0,768000000,0,0,0,BISV,0,RUB,2160000000,2414000000,0,4499000000,0,440000000,440000000,541000000,573000000,573000000,17221000000,17221000000,MOEX,0,0,,245000000,2466000000,33000000,7000000,-26000000,https://cdn.financemarker.ru/reports/2019/MOEX/B/BISV_2019_12_Q_РСБУ.pdf,0,23502000000,3005000000,0,3941000000,12,4650000000,200000000,Q,0,42944000000,1508000000,0,25662000000,5419000000,45000000,8440000000,РСБУ,2019,8477838860.399999,36165270,6.1200,36165270,8.6000,949023840,8.7000,949023840,8.7000,0.4466147621140473,1.5306705937908713,0.5816142242985207,0
1,889999000,436353000,2428331000,-5659525000,3294695000,BISV,0,RUB,5282492000,654615000,76213000,3179054000,1700393999.9999998,2283894000,2283894000,3118059000,2518182000,4218576000,15241809000,15241478000,MOEX,2404696000,0,,0,250866000,886485000,1486362000,599877000,https://cdn.financemarker.ru/reports/2019/MOEX/B/BISV_2019_12_Y_МСФО.pdf,0,24227548000,8537014000,79541000,11089177000,12,8755276000,2216446000,Y,0,74729000,9659991000,2758020000,29510040000,9191629000,-2216446000,14268231000,МСФО,2019,8477838860.399999,36165270,6.1200,36165270,8.6000,949023840,8.7000,949023840,8.7000,2.318229035235682,9.805214960201905,4.281996174318248,2.4408471181740934
1,942593000,766243000,2447987000,-4506828000,2304408000,BISV,0,RUB,2159743000,2413672000,0,4499041000,1037732000.0000001,1926699000.0000002,1926699000.0000002,2241799000,2225242000,3262974000,17221440000,17221440000,MOEX,1361815000,0,,1470043000,208349000,42885000,59442000.00000001,16557000,https://cdn.financemarker.ru/reports/2019/MOEX/B/BISV_2019_12_Q_РСБУ.pdf,0,23502013000,3004576000,0,3941275000,12,4652005000,1470043000,Y,0,55158000,6335668000,0,25661756000,5418248000,0,8440316000.000001,РСБУ,2019,8477838860.399999,36165270,6.1200,36165270,8.6000,949023840,8.7000,949023840,8.7000,1.9556641262508476,6.430915583303595,3.3120280836234577,1.3822879142462303
1,0,911790000,0,0,0,BISV,0,RUB,2330384000,2400000000,0,5485190000,0,79173000,79173000,102556000,94700000,94700000,17300614000,17300614000,MOEX,0,0,,111720000,208358000,7144000,15000000,7856000,https://cdn.financemarker.ru/reports/2020/MOEX/B/BISV_2020_3_Q_РСБУ.pdf,0,26250957000,4798876000,0,5795537000,3,6287086000,111720000,Q,0,55168000,1311287000,0,28581341000,7198876000,0,11280727000,РСБУ,2020,8497729758.899999,36165270,6.6700,36165270,8.6000,949023840,8.7000,949023840,8.7000,0.08036325127467152,1.3310002990187335,0.0961236772095461,0
1,614073000,756250000,2588736000,-3099577000,842131000,BISV,0,RUB,6838431000,3144445000,65504000,7304204000,1034875999.9999999,539034000,539034000,764734000,1049460999.9999999,2084336999.9999998,16528097000,16312130999.999998,MOEX,228058000,0,,0,250867000,409293000,124566000,-284727000,https://cdn.financemarker.ru/reports/2020/MOEX/B/BISV_2020_6_6M_МСФО.pdf,0,28471122000,8645136000,85972000,11477252000,6,11033331000,870140000,6M,0,74728000,5998363000,1612876000,35309553000,11789581000,-870140000,18781456000,МСФО,2020,8554870885.499999,36165270,8.2500,36165270,8.6000,949023840,8.7000,949023840,8.7000,0.5471375947304168,6.088539691633416,2.115671985046607,0.23148652140501227
1,0,720806000,0,0,0,BISV,0,RUB,3007497000,2400000000,0,5214345000,0,356829000,356829000,426165000,411800000,411800000,17578269000,17578269000,MOEX,0,0,,264993999.99999997,140882000,11082000,25447000,14365000,https://cdn.financemarker.ru/reports/2020/MOEX/B/BISV_2020_6_Q_РСБУ.pdf,0,25883830000,5298876000,0,6098713000,6,6978070000,264993999.99999997,6M,0,55169000,2810083000,0,28891327000,7698876000,0,11313058000,РСБУ,2020,8554870885.499999,36165270,8.2500,36165270,8.6000,949023840,8.7000,949023840,8.7000,0.36219340670543954,2.852328524013019,0.41799081599673793,0
