id,ref_id,exchange,code,year,month,period,type,preliminary,cash_and_equiv,current_assets,long_term_assets,total_assets,current_liabilities,long_term_liabilities,total_liabilities,current_debt,current_lease,long_term_debt,long_term_lease,total_debt,net_debt,equity,equity_stock_holders,revenue,gross_profit,sel_gen_adm_expenses,total_expenses,operating_income,interest_income,interest_expense,interest_net,commission_net,ebitda,ebit,earnings_wo_tax,earnings,earnings_stock_holders,depr_depl_amort,cfo,cfi,cff,capex,fcf,ffo,amount,curr,link,link_press,gen,capital,num5,price5,num5_day,price5_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
140551000000,0,MOEX,FIVE,2018,9,9M,МСФО,0,15338000000,142432000000,426644000000,569076000000,241673000000,168185000000,409858000000,55987000000,0,161197000000,0,217184000000,201846000000,159218000000,159218000000,1109582000000,267940000000,195624000000,225102000000,42838000000,0,13163000000,-13163000000,0,79484000000,42625000000,29462000000,22400000000,22400000000,34989000000,55779000000,-68986000000,1015000000,0,55779000000,0,1,RUB,/fa/fa_reports/2018/FIVE20189MМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q3_2018_Financial_results.pdf,,402335209868,271572872,1481.5000,271572872,1191.0000,82.48246533254617,4085.7615557418417,292.6801908255402,205.39238543678988
1305938000000,0,MOEX,FIVE,2018,9,Q,МСФО,0,15338000000,142432000000,426644000000,569076000000,241673000000,168185000000,409858000000,55987000000,0,161197000000,0,217184000000,201846000000,159218000000,159218000000,375505000000,92482000000,67046000000,77115000000,15367000000,0,4512000000,-4512000000,0,27787000000,15327000000,10815000000,8087000000,8087000000,12323000000,28147000000,-19533000000,-7012000000,0,28147000000,0,1,RUB,/fa/fa_reports/2018/FIVE20189MМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q3_2018_Financial_results.pdf,X,402335209868,271572872,1481.5000,271572872,1191.0000,29.778379336799148,1382.7043814597212,102.3187617944402,103.64437284442755
1305940000000,0,MOEX,FIVE,2018,12,6M,МСФО,0,24368000000,170840000000,439959000000,610799000000,291203000000,154121000000,445324000000,60435000000,0,147329000000,0,207764000000,183396000000,165475000000,165475000000,798460000000,194262000000,194780000000,163579000000,30683000000,179000000,8370000000,-9837000000,0,58174000000,30230000000,20393000000,14329000000,14329000000,26808000000,70402000000,-43307000000,-16463000000,78768000000,-8366000000,0,1,RUB,/fa/fa_reports/2018/FIVE2018YMSFO.pdf,https://www.x5.ru/ru/Documents/X5_Q4_2018_Financial_results.pdf,X,468463204200,271572872,1725.0000,271572872,1191.0000,52.763002042413135,2940.131663813608,214.21138117212237,-30.805727900539345
1305939000000,0,MOEX,FIVE,2018,12,Q,МСФО,0,24368000000,170840000000,439959000000,610799000000,291203000000,154121000000,445324000000,60435000000,0,147329000000,0,207764000000,183396000000,165475000000,165475000000,422955000000,101780000000,127734000000,86464000000,15316000000,179000000,3858000000,-5325000000,0,30387000000,14903000000,9578000000,6242000000,6242000000,14485000000,42255000000,-23774000000,-9451000000,78768000000,-36513000000,0,1,RUB,/fa/fa_reports/2018/FIVE2018YMSFO.pdf,https://www.x5.ru/ru/Documents/X5_Q4_2018_Financial_results.pdf,X,468463204200,271572872,1725.0000,271572872,1191.0000,22.984622705613983,1557.427282353887,111.89261937768217,-134.4501007449669
2240000000,0,MOEX,FIVE,2018,12,Y,МСФО,0,24368000000,170840000000,439959000000,610799000000,291203000000,154121000000,445324000000,60435000000,0,147329000000,0,207764000000,183396000000,165475000000,165475000000,1532537000000,369720000000,323358000000,311566000000,58154000000,179000000,17021000000,-18488000000,0,109871000000,57528000000,39040000000,28642000000,28642000000,49474000000,98034000000,-92760000000,-8436000000,78768000000,19266000000,0,1,RUB,/fa/fa_reports/2018/FIVE2018YMSFO.pdf,https://www.x5.ru/ru/Documents/X5_Q4_2018_Financial_results.pdf,,468463204200,271572872,1725.0000,271572872,1191.0000,105.46708803816016,5643.188838095729,404.57281020322233,70.94228469182298
2532000000,56193000000,MOEX,FIVE,2019,3,Q,МСФО,0,18281000000,149905000000,830566000000,980471000000,318623000000,530927000000,849550000000,60291000000,51921000000,141650000000,383556000000,201941000000,183660000000,130921000000,130921000000,405864000000,102165000000,54710000000,78899000000,23266000000,0,13522000000,-13522000000,0,50753000000,24871000000,11349000000,8335000000,8335000000,12509000000,29345000000,-17373000000,-18059000000,0,29345000000,0,1,RUB,/fa/fa_reports/2019/FIVE2019Q1МСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q1_2019_Financial_results.pdf,,446737374440,271572872,1645.0000,271572872,1191.0000,30.691578060123767,1494.4938977557376,186.88538227779983,108.05571183855213
140312000000,56194000000,MOEX,FIVE,2019,6,6M,МСФО,0,16943000000,148226000000,849136000000,997362000000,327176000000,552849000000,880025000000,59852000000,53910000000,152203000000,394204000000,212055000000,195112000000,117337000000,117337000000,843175000000,213346000000,110687000000,160634000000,52712000000,0,27002000000,-27002000000,0,108831000000,54666000000,27664000000,20312000000,20312000000,26312000000,72558000000,-35559000000,-44416000000,0,72558000000,0,1,RUB,/fa/fa_reports/2019/FIVE20196MМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q2_2019_Financial_results_presentation.pdf,,591349928780,271572872,2177.5000,271572872,1191.0000,74.79392124261955,3104.783602980787,400.74326716992556,267.1769071249502
1305941000000,0,MOEX,FIVE,2019,6,Q,МСФО,0,16943000000,148226000000,849136000000,997362000000,327176000000,552849000000,880025000000,59852000000,53910000000,152203000000,394204000000,212055000000,195112000000,117337000000,117337000000,437311000000,111181000000,55977000000,81735000000,29446000000,0,13480000000,-13480000000,0,58078000000,29795000000,16315000000,11977000000,11977000000,13803000000,43213000000,-18186000000,-26357000000,0,43213000000,0,1,RUB,/fa/fa_reports/2019/FIVE20196MМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q2_2019_Financial_results_presentation.pdf,X,591349928780,271572872,2177.5000,271572872,1191.0000,44.10234318249579,1610.2897052250491,213.85788489212575,159.12119528639812
141387000000,56195000000,MOEX,FIVE,2019,9,9M,МСФО,0,10867000000,148592000000,866857000000,1015449000000,328387000000,569598000000,897985000000,72868000000,56374000000,153718000000,407219000000,226586000000,215719000000,117464000000,117464000000,1265130000000,318494000000,167146000000,247683000000,70811000000,0,41199000000,-41199000000,0,161098000000,72621000000,31422000000,20414000000,20414000000,44154000000,87728000000,-58562000000,-42653000000,0,87728000000,0,1,RUB,/fa/fa_reports/2019/FIVE20199MМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q3_2019_Financial_Results_Presentation.pdf,,618914575288,271572872,2279.0000,271572872,1191.0000,75.16951104011596,4658.528632418042,593.2035803635056,323.0366838702505
1305942000000,0,MOEX,FIVE,2019,9,Q,МСФО,0,10867000000,148592000000,866857000000,1015449000000,328387000000,569598000000,897985000000,72868000000,56374000000,153718000000,407219000000,226586000000,215719000000,117464000000,117464000000,421955000000,105148000000,56459000000,87049000000,18099000000,0,14197000000,-14197000000,0,52267000000,17955000000,3758000000,102000000,102000000,17842000000,15170000000,-23003000000,1763000000,0,15170000000,0,1,RUB,/fa/fa_reports/2019/FIVE20199MМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q3_2019_Financial_Results_Presentation.pdf,X,618914575288,271572872,2279.0000,271572872,1191.0000,0.37558979749641563,1553.7450294372554,192.46031319357996,55.859776745300245
